Country,Year,Gender_Female,Gender_Male,Gender_Total,Age_Under18,Age_Over18,Age_Total,VALUE
Romania,2005-01-01,0,0,1,0,0,1,8898
El Salvador,2005-01-01,0,0,1,0,0,1,4628
Serbia,2005-01-01,0,0,1,0,0,1,1614
Slovakia,2005-01-01,0,0,1,0,0,1,3896
Slovenia,2005-01-01,0,0,1,0,0,1,2304
Sweden,2005-01-01,0,0,1,0,0,1,72645
Albania,2006-01-01,0,0,1,0,0,1,246
Austria,2006-01-01,0,0,1,0,0,1,3577
Azerbaijan,2006-01-01,0,0,1,0,0,1,160
Belgium,2006-01-01,0,0,1,0,0,1,70886
Bolivia (Plurinational State of),2006-01-01,0,0,1,0,0,1,5405
Barbados,2006-01-01,0,0,1,0,0,1,1704
Canada,2006-01-01,0,0,1,0,0,1,56709
Switzerland,2006-01-01,0,0,1,0,0,1,9272
Chile,2006-01-01,0,0,1,0,0,1,20992
Colombia,2006-01-01,0,0,1,0,0,1,46529
Costa Rica,2006-01-01,0,0,1,0,0,1,5931
Cyprus,2006-01-01,0,0,1,0,0,1,134
Czechia,2006-01-01,0,0,1,0,0,1,19171
Germany,2006-01-01,0,0,1,0,0,1,510775
Spain,2006-01-01,0,0,1,0,0,1,180706
Finland,2006-01-01,0,0,1,0,0,1,30864
France,2006-01-01,0,0,1,0,0,1,164359
United Kingdom (England and Wales),2006-01-01,0,0,1,0,0,1,504718
United Kingdom (Northern Ireland),2006-01-01,0,0,1,0,0,1,1164
United Kingdom (Scotland),2006-01-01,0,0,1,0,0,1,84692
Greece,2006-01-01,0,0,1,0,0,1,7399
Grenada,2006-01-01,0,0,1,0,0,1,1903
Guatemala,2006-01-01,0,0,1,0,0,1,6055
Croatia,2006-01-01,0,0,1,0,0,1,1069
Hungary,2006-01-01,0,0,1,0,0,1,11516
Ireland,2006-01-01,0,0,1,0,0,1,13737
Italy,2006-01-01,0,0,1,0,0,1,59143
Lithuania,2006-01-01,0,0,1,0,0,1,340
Latvia,2006-01-01,0,0,1,0,0,1,1549
Morocco,2006-01-01,0,0,1,0,0,1,36161
Mexico,2006-01-01,0,0,1,0,0,1,245507
Mongolia,2006-01-01,0,0,1,0,0,1,3584
Netherlands (Kingdom of the),2006-01-01,0,0,1,0,0,1,69185
Norway,2006-01-01,0,0,1,0,0,1,3185
New Zealand,2006-01-01,0,0,1,0,0,1,10140
Panama,2006-01-01,0,0,1,0,0,1,6055
Romania,2006-01-01,0,0,1,0,0,1,9459
El Salvador,2006-01-01,0,0,1,0,0,1,4614
Serbia,2006-01-01,0,0,1,0,0,1,1657
Slovakia,2006-01-01,0,0,1,0,0,1,3200
Slovenia,2006-01-01,0,0,1,0,0,1,2431
Sweden,2006-01-01,0,0,1,0,0,1,77019
Albania,2007-01-01,0,0,1,0,0,1,219
Austria,2007-01-01,0,0,1,0,0,1,3878
Belgium,2007-01-01,0,0,1,0,0,1,74289
Bolivia (Plurinational State of),2007-01-01,0,0,1,0,0,1,6441
Barbados,2007-01-01,0,0,1,0,0,1,1549
Canada,2007-01-01,0,0,1,0,0,1,58269
Switzerland,2007-01-01,0,0,1,0,0,1,9644
Chile,2007-01-01,0,0,1,0,0,1,21727
Colombia,2007-01-01,0,0,1,0,0,1,47957
Costa Rica,2007-01-01,0,0,1,0,0,1,6429
Cyprus,2007-01-01,0,0,1,0,0,1,142
Czechia,2007-01-01,0,0,1,0,0,1,19551
Germany,2007-01-01,0,0,1,0,0,1,523283
Spain,2007-01-01,0,0,1,0,0,1,70536
Finland,2007-01-01,0,0,1,0,0,1,34614
France,2007-01-01,0,0,1,0,0,1,175886
United Kingdom (England and Wales),2007-01-01,0,0,1,0,0,1,450766
United Kingdom (Northern Ireland),2007-01-01,0,0,1,0,0,1,1148
United Kingdom (Scotland),2007-01-01,0,0,1,0,0,1,79523
Greece,2007-01-01,0,0,1,0,0,1,7788
Grenada,2007-01-01,0,0,1,0,0,1,1312
Guatemala,2007-01-01,0,0,1,0,0,1,6238
Croatia,2007-01-01,0,0,1,0,0,1,1093
Hungary,2007-01-01,0,0,1,0,0,1,11148
Ireland,2007-01-01,0,0,1,0,0,1,15147
Italy,2007-01-01,0,0,1,0,0,1,63602
Lithuania,2007-01-01,0,0,1,0,0,1,287
Latvia,2007-01-01,0,0,1,0,0,1,1256
Morocco,2007-01-01,0,0,1,0,0,1,31432
Mexico,2007-01-01,0,0,1,0,0,1,261295
Mongolia,2007-01-01,0,0,1,0,0,1,4614
Netherlands (Kingdom of the),2007-01-01,0,0,1,0,0,1,71570
Norway,2007-01-01,0,0,1,0,0,1,3312
New Zealand,2007-01-01,0,0,1,0,0,1,11569
Panama,2007-01-01,0,0,1,0,0,1,6450
Romania,2007-01-01,0,0,1,0,0,1,9586
El Salvador,2007-01-01,0,0,1,0,0,1,2971
Serbia,2007-01-01,0,0,1,0,0,1,1681
Slovakia,2007-01-01,0,0,1,0,0,1,2967
Slovenia,2007-01-01,0,0,1,0,0,1,2482
Sweden,2007-01-01,0,0,1,0,0,1,82262
Albania,2008-01-01,0,0,1,0,0,1,363
Austria,2008-01-01,0,0,1,0,0,1,3945
Belgium,2008-01-01,0,0,1,0,0,1,76314
Bolivia (Plurinational State of),2008-01-01,0,0,1,0,0,1,6987
Barbados,2008-01-01,0,0,1,0,0,1,1594
Canada,2008-01-01,0,0,1,0,0,1,58419
Switzerland,2008-01-01,0,0,1,0,0,1,8893
Chile,2008-01-01,0,0,1,0,0,1,23275
Colombia,2008-01-01,0,0,1,0,0,1,36043
Costa Rica,2008-01-01,0,0,1,0,0,1,6750
Cyprus,2008-01-01,0,0,1,0,0,1,167
Czechia,2008-01-01,0,0,1,0,0,1,17875
Germany,2008-01-01,0,0,1,0,0,1,518499
Spain,2008-01-01,0,0,1,0,0,1,72803
Finland,2008-01-01,0,0,1,0,0,1,34778
France,2008-01-01,0,0,1,0,0,1,187937
United Kingdom (England and Wales),2008-01-01,0,0,1,0,0,1,419119
United Kingdom (Northern Ireland),2008-01-01,0,0,1,0,0,1,1549
United Kingdom (Scotland),2008-01-01,0,0,1,0,0,1,79892
Greece,2008-01-01,0,0,1,0,0,1,8008
Grenada,2008-01-01,0,0,1,0,0,1,1285
Guatemala,2008-01-01,0,0,1,0,0,1,6960
Croatia,2008-01-01,0,0,1,0,0,1,1128
Hungary,2008-01-01,0,0,1,0,0,1,12757
Ireland,2008-01-01,0,0,1,0,0,1,16186
Italy,2008-01-01,0,0,1,0,0,1,65791
Lithuania,2008-01-01,0,0,1,0,0,1,251
Latvia,2008-01-01,0,0,1,0,0,1,1346
"China, Macao Special Administrative Region",2008-01-01,0,0,1,0,0,1,1998
Morocco,2008-01-01,0,0,1,0,0,1,30934
Mexico,2008-01-01,0,0,1,0,0,1,250932
Mongolia,2008-01-01,0,0,1,0,0,1,5319
Netherlands (Kingdom of the),2008-01-01,0,0,1,0,0,1,69005
Norway,2008-01-01,0,0,1,0,0,1,3279
New Zealand,2008-01-01,0,0,1,0,0,1,11948
Panama,2008-01-01,0,0,1,0,0,1,6739
Romania,2008-01-01,0,0,1,0,0,1,9457
El Salvador,2008-01-01,0,0,1,0,0,1,3428
Serbia,2008-01-01,0,0,1,0,0,1,1582
Slovakia,2008-01-01,0,0,1,0,0,1,2702
Slovenia,2008-01-01,0,0,1,0,0,1,2135
Sweden,2008-01-01,0,0,1,0,0,1,84566
Albania,2009-01-01,0,0,1,0,0,1,379
Austria,2009-01-01,0,0,1,0,0,1,4023
Azerbaijan,2009-01-01,0,0,1,0,0,1,184
Belgium,2009-01-01,0,0,1,0,0,1,77665
Bahamas,2009-01-01,0,0,1,0,0,1,2601
Bolivia (Plurinational State of),2009-01-01,0,0,1,0,0,1,7229
Barbados,2009-01-01,0,0,1,0,0,1,1610
Canada,2009-01-01,0,0,1,0,0,1,57002
Switzerland,2009-01-01,0,0,1,0,0,1,524
Chile,2009-01-01,0,0,1,0,0,1,23816
Colombia,2009-01-01,0,0,1,0,0,1,55124
Costa Rica,2009-01-01,0,0,1,0,0,1,7437
Cyprus,2009-01-01,0,0,1,0,0,1,219
Czechia,2009-01-01,0,0,1,0,0,1,16887
Germany,2009-01-01,0,0,1,0,0,1,149301
Spain,2009-01-01,0,0,1,0,0,1,80910
Finland,2009-01-01,0,0,1,0,0,1,32878
France,2009-01-01,0,0,1,0,0,1,220126
United Kingdom (England and Wales),2009-01-01,0,0,1,0,0,1,399713
United Kingdom (Northern Ireland),2009-01-01,0,0,1,0,0,1,1605
United Kingdom (Scotland),2009-01-01,0,0,1,0,0,1,5621
Greece,2009-01-01,0,0,1,0,0,1,7869
Grenada,2009-01-01,0,0,1,0,0,1,1175
Guatemala,2009-01-01,0,0,1,0,0,1,7603
Croatia,2009-01-01,0,0,1,0,0,1,1059
Hungary,2009-01-01,0,0,1,0,0,1,12787
Ireland,2009-01-01,0,0,1,0,0,1,15580
Italy,2009-01-01,0,0,1,0,0,1,65611
Saint Kitts and Nevis,2009-01-01,0,0,1,0,0,1,148
Lithuania,2009-01-01,0,0,1,0,0,1,220
Latvia,2009-01-01,0,0,1,0,0,1,1215
"China, Macao Special Administrative Region",2009-01-01,0,0,1,0,0,1,1879
Morocco,2009-01-01,0,0,1,0,0,1,31106
Mexico,2009-01-01,0,0,1,0,0,1,244623
Myanmar,2009-01-01,0,0,1,0,0,1,2886
Mongolia,2009-01-01,0,0,1,0,0,1,5770
Netherlands (Kingdom of the),2009-01-01,0,0,1,0,0,1,65690
Norway,2009-01-01,0,0,1,0,0,1,3093
New Zealand,2009-01-01,0,0,1,0,0,1,11941
Panama,2009-01-01,0,0,1,0,0,1,6572
Poland,2009-01-01,0,0,1,0,0,1,12559
Romania,2009-01-01,0,0,1,0,0,1,9072
El Salvador,2009-01-01,0,0,1,0,0,1,3901
Serbia,2009-01-01,0,0,1,0,0,1,1442
Slovakia,2009-01-01,0,0,1,0,0,1,2618
Slovenia,2009-01-01,0,0,1,0,0,1,2177
Sweden,2009-01-01,0,0,1,0,0,1,86281
Albania,2010-01-01,0,0,1,0,0,1,178
Austria,2010-01-01,0,0,1,0,0,1,3606
Azerbaijan,2010-01-01,0,0,1,0,0,1,172
Belgium,2010-01-01,0,0,1,0,0,1,77758
Bahamas,2010-01-01,0,0,1,0,0,1,3063
Bolivia (Plurinational State of),2010-01-01,0,0,1,0,0,1,8451
Barbados,2010-01-01,0,0,1,0,0,1,1511
Canada,2010-01-01,0,0,1,0,0,1,55436
Switzerland,2010-01-01,0,0,1,0,0,1,487
Chile,2010-01-01,0,0,1,0,0,1,22259
Colombia,2010-01-01,0,0,1,0,0,1,53140
Costa Rica,2010-01-01,0,0,1,0,0,1,7953
Cyprus,2010-01-01,0,0,1,0,0,1,173
Czechia,2010-01-01,0,0,1,0,0,1,18073
Germany,2010-01-01,0,0,1,0,0,1,142903
Spain,2010-01-01,0,0,1,0,0,1,25077
Finland,2010-01-01,0,0,1,0,0,1,1996
France,2010-01-01,0,0,1,0,0,1,231909
United Kingdom (England and Wales),2010-01-01,0,0,1,0,0,1,366878
United Kingdom (Northern Ireland),2010-01-01,0,0,1,0,0,1,1451
United Kingdom (Scotland),2010-01-01,0,0,1,0,0,1,5493
Greece,2010-01-01,0,0,1,0,0,1,1101
Grenada,2010-01-01,0,0,1,0,0,1,1152
Guatemala,2010-01-01,0,0,1,0,0,1,7452
Guyana,2010-01-01,0,0,1,0,0,1,11182
Croatia,2010-01-01,0,0,1,0,0,1,986
Hungary,2010-01-01,0,0,1,0,0,1,14569
Ireland,2010-01-01,0,0,1,0,0,1,15038
Italy,2010-01-01,0,0,1,0,0,1,64866
Saint Kitts and Nevis,2010-01-01,0,0,1,0,0,1,155
Lithuania,2010-01-01,0,0,1,0,0,1,245
Latvia,2010-01-01,0,0,1,0,0,1,1226
"China, Macao Special Administrative Region",2010-01-01,0,0,1,0,0,1,1836
Mexico,2010-01-01,0,0,1,0,0,1,230687
Myanmar,2010-01-01,0,0,1,0,0,1,2681
Mongolia,2010-01-01,0,0,1,0,0,1,5821
Netherlands (Kingdom of the),2010-01-01,0,0,1,0,0,1,60280
Norway,2010-01-01,0,0,1,0,0,1,2925
New Zealand,2010-01-01,0,0,1,0,0,1,11260
Panama,2010-01-01,0,0,1,0,0,1,6060
Poland,2010-01-01,0,0,1,0,0,1,11011
Romania,2010-01-01,0,0,1,0,0,1,12301
El Salvador,2010-01-01,0,0,1,0,0,1,3891
Serbia,2010-01-01,0,0,1,0,0,1,1391
Slovakia,2010-01-01,0,0,1,0,0,1,2426
Slovenia,2010-01-01,0,0,1,0,0,1,2182
Sweden,2010-01-01,0,0,1,0,0,1,5594
Albania,2011-01-01,0,0,1,0,0,1,169
Austria,2011-01-01,0,0,1,0,0,1,3897
Azerbaijan,2011-01-01,0,0,1,0,0,1,153
Belgium,2011-01-01,0,0,1,0,0,1,78778
Bahamas,2011-01-01,0,0,1,0,0,1,3268
Bolivia (Plurinational State of),2011-01-01,0,0,1,0,0,1,6692
Barbados,2011-01-01,0,0,1,0,0,1,1312
Canada,2011-01-01,0,0,1,0,0,1,53957
Switzerland,2011-01-01,0,0,1,0,0,1,487
Chile,2011-01-01,0,0,1,0,0,1,22963
Colombia,2011-01-01,0,0,1,0,0,1,62185
Costa Rica,2011-01-01,0,0,1,0,0,1,7361
Cyprus,2011-01-01,0,0,1,0,0,1,164
Czechia,2011-01-01,0,0,1,0,0,1,19409
Germany,2011-01-01,0,0,1,0,0,1,139091
Spain,2011-01-01,0,0,1,0,0,1,18290
Finland,2011-01-01,0,0,1,0,0,1,2953
France,2011-01-01,0,0,1,0,0,1,231306
United Kingdom (England and Wales),2011-01-01,0,0,1,0,0,1,336867
United Kingdom (Northern Ireland),2011-01-01,0,0,1,0,0,1,1446
United Kingdom (Scotland),2011-01-01,0,0,1,0,0,1,4693
Greece,2011-01-01,0,0,1,0,0,1,1425
Grenada,2011-01-01,0,0,1,0,0,1,1236
Guatemala,2011-01-01,0,0,1,0,0,1,6237
Honduras,2011-01-01,0,0,1,0,0,1,3645
Croatia,2011-01-01,0,0,1,0,0,1,873
Hungary,2011-01-01,0,0,1,0,0,1,14212
Ireland,2011-01-01,0,0,1,0,0,1,14709
Italy,2011-01-01,0,0,1,0,0,1,68500
Saint Kitts and Nevis,2011-01-01,0,0,1,0,0,1,137
Lithuania,2011-01-01,0,0,1,0,0,1,206
Latvia,2011-01-01,0,0,1,0,0,1,1161
"China, Macao Special Administrative Region",2011-01-01,0,0,1,0,0,1,1728
Mexico,2011-01-01,0,0,1,0,0,1,212141
Myanmar,2011-01-01,0,0,1,0,0,1,2228
Mongolia,2011-01-01,0,0,1,0,0,1,5838
Netherlands (Kingdom of the),2011-01-01,0,0,1,0,0,1,59425
Norway,2011-01-01,0,0,1,0,0,1,2837
New Zealand,2011-01-01,0,0,1,0,0,1,10806
Panama,2011-01-01,0,0,1,0,0,1,5784
Poland,2011-01-01,0,0,1,0,0,1,10703
Romania,2011-01-01,0,0,1,0,0,1,12299
El Salvador,2011-01-01,0,0,1,0,0,1,3681
Serbia,2011-01-01,0,0,1,0,0,1,1309
Slovakia,2011-01-01,0,0,1,0,0,1,2227
Slovenia,2011-01-01,0,0,1,0,0,1,1974
Sweden,2011-01-01,0,0,1,0,0,1,5684
Albania,2012-01-01,0,0,1,0,0,1,156
Austria,2012-01-01,0,0,1,0,0,1,4030
Azerbaijan,2012-01-01,0,0,1,0,0,1,132
Belgium,2012-01-01,0,0,1,0,0,1,72312
Bahamas,2012-01-01,0,0,1,0,0,1,3132
Bolivia (Plurinational State of),2012-01-01,0,0,1,0,0,1,7426
Barbados,2012-01-01,0,0,1,0,0,1,1468
Canada,2012-01-01,0,0,1,0,0,1,53339
Switzerland,2012-01-01,0,0,1,0,0,1,597
Chile,2012-01-01,0,0,1,0,0,1,19813
Colombia,2012-01-01,0,0,1,0,0,1,82181
Costa Rica,2012-01-01,0,0,1,0,0,1,6477
Cyprus,2012-01-01,0,0,1,0,0,1,148
Czechia,2012-01-01,0,0,1,0,0,1,18358
Germany,2012-01-01,0,0,1,0,0,1,136077
Dominican Republic,2012-01-01,0,0,1,0,0,1,5937
Spain,2012-01-01,0,0,1,0,0,1,17353
Finland,2012-01-01,0,0,1,0,0,1,1874
France,2012-01-01,0,0,1,0,0,1,231733
United Kingdom (England and Wales),2012-01-01,0,0,1,0,0,1,310953
United Kingdom (Northern Ireland),2012-01-01,0,0,1,0,0,1,1278
United Kingdom (Scotland),2012-01-01,0,0,1,0,0,1,3643
Greece,2012-01-01,0,0,1,0,0,1,1692
Grenada,2012-01-01,0,0,1,0,0,1,1313
Guatemala,2012-01-01,0,0,1,0,0,1,6086
Guyana,2012-01-01,0,0,1,0,0,1,9867
Honduras,2012-01-01,0,0,1,0,0,1,2027
Croatia,2012-01-01,0,0,1,0,0,1,903
Hungary,2012-01-01,0,0,1,0,0,1,13973
Ireland,2012-01-01,0,0,1,0,0,1,13566
Italy,2012-01-01,0,0,1,0,0,1,69527
Lithuania,2012-01-01,0,0,1,0,0,1,178
Latvia,2012-01-01,0,0,1,0,0,1,1325
"China, Macao Special Administrative Region",2012-01-01,0,0,1,0,0,1,1754
Morocco,2012-01-01,0,0,1,0,0,1,29439
Mexico,2012-01-01,0,0,1,0,0,1,211921
Myanmar,2012-01-01,0,0,1,0,0,1,2312
Mongolia,2012-01-01,0,0,1,0,0,1,6546
Netherlands (Kingdom of the),2012-01-01,0,0,1,0,0,1,57300
Norway,2012-01-01,0,0,1,0,0,1,2781
New Zealand,2012-01-01,0,0,1,0,0,1,10165
Panama,2012-01-01,0,0,1,0,0,1,5461
Poland,2012-01-01,0,0,1,0,0,1,9721
Romania,2012-01-01,0,0,1,0,0,1,17219
El Salvador,2012-01-01,0,0,1,0,0,1,4228
Serbia,2012-01-01,0,0,1,0,0,1,1323
Slovakia,2012-01-01,0,0,1,0,0,1,2183
Slovenia,2012-01-01,0,0,1,0,0,1,2032
Sweden,2012-01-01,0,0,1,0,0,1,5338
Albania,2013-01-01,0,0,1,0,0,1,163
Austria,2013-01-01,0,0,1,0,0,1,3327
Azerbaijan,2013-01-01,0,0,1,0,0,1,132
Belgium,2013-01-01,0,0,1,0,0,1,69746
Bolivia (Plurinational State of),2013-01-01,0,0,1,0,0,1,12625
Barbados,2013-01-01,0,0,1,0,0,1,1250
Canada,2013-01-01,0,0,1,0,0,1,49260
Switzerland,2013-01-01,0,0,1,0,0,1,568
Chile,2013-01-01,0,0,1,0,0,1,14313
Colombia,2013-01-01,0,0,1,0,0,1,167111
Costa Rica,2013-01-01,0,0,1,0,0,1,8221
Cyprus,2013-01-01,0,0,1,0,0,1,132
Czechia,2013-01-01,0,0,1,0,0,1,18689
Germany,2013-01-01,0,0,1,0,0,1,127869
Dominican Republic,2013-01-01,0,0,1,0,0,1,3833
Spain,2013-01-01,0,0,1,0,0,1,16701
Finland,2013-01-01,0,0,1,0,0,1,1791
France,2013-01-01,0,0,1,0,0,1,233304
United Kingdom (England and Wales),2013-01-01,0,0,1,0,0,1,321535
United Kingdom (Northern Ireland),2013-01-01,0,0,1,0,0,1,1093
United Kingdom (Scotland),2013-01-01,0,0,1,0,0,1,2951
Greece,2013-01-01,0,0,1,0,0,1,1610
Grenada,2013-01-01,0,0,1,0,0,1,1394
Guatemala,2013-01-01,0,0,1,0,0,1,2786
Guyana,2013-01-01,0,0,1,0,0,1,6501
Honduras,2013-01-01,0,0,1,0,0,1,1734
Croatia,2013-01-01,0,0,1,0,0,1,823
Hungary,2013-01-01,0,0,1,0,0,1,13377
Ireland,2013-01-01,0,0,1,0,0,1,3089
Italy,2013-01-01,0,0,1,0,0,1,66317
Lithuania,2013-01-01,0,0,1,0,0,1,211
Latvia,2013-01-01,0,0,1,0,0,1,458
"China, Macao Special Administrative Region",2013-01-01,0,0,1,0,0,1,1700
Morocco,2013-01-01,0,0,1,0,0,1,67763
Mexico,2013-01-01,0,0,1,0,0,1,32202
Myanmar,2013-01-01,0,0,1,0,0,1,5003
Mongolia,2013-01-01,0,0,1,0,0,1,7564
Netherlands (Kingdom of the),2013-01-01,0,0,1,0,0,1,5581
Norway,2013-01-01,0,0,1,0,0,1,2566
New Zealand,2013-01-01,0,0,1,0,0,1,8951
Panama,2013-01-01,0,0,1,0,0,1,4236
Poland,2013-01-01,0,0,1,0,0,1,9118
Romania,2013-01-01,0,0,1,0,0,1,17572
El Salvador,2013-01-01,0,0,1,0,0,1,4322
Serbia,2013-01-01,0,0,1,0,0,1,1750
Slovakia,2013-01-01,0,0,1,0,0,1,2017
Slovenia,2013-01-01,0,0,1,0,0,1,1849
Sweden,2013-01-01,0,0,1,0,0,1,4659
Albania,2014-01-01,0,0,1,0,0,1,132
Austria,2014-01-01,0,0,1,0,0,1,3230
Azerbaijan,2014-01-01,0,0,1,0,0,1,160
Belgium,2014-01-01,0,0,1,0,0,1,70411
Bahamas,2014-01-01,0,0,1,0,0,1,5145
Bolivia (Plurinational State of),2014-01-01,0,0,1,0,0,1,9513
Barbados,2014-01-01,0,0,1,0,0,1,1465
Canada,2014-01-01,0,0,1,0,0,1,48369
Switzerland,2014-01-01,0,0,1,0,0,1,609
Chile,2014-01-01,0,0,1,0,0,1,13359
Colombia,2014-01-01,0,0,1,0,0,1,167645
Costa Rica,2014-01-01,0,0,1,0,0,1,8477
Cyprus,2014-01-01,0,0,1,0,0,1,134
Czechia,2014-01-01,0,0,1,0,0,1,5199
Germany,2014-01-01,0,0,1,0,0,1,125752
Dominican Republic,2014-01-01,0,0,1,0,0,1,4275
Spain,2014-01-01,0,0,1,0,0,1,16776
Finland,2014-01-01,0,0,1,0,0,1,1645
France,2014-01-01,0,0,1,0,0,1,237915
United Kingdom (England and Wales),2014-01-01,0,0,1,0,0,1,373464
United Kingdom (Northern Ireland),2014-01-01,0,0,1,0,0,1,1172
United Kingdom (Scotland),2014-01-01,0,0,1,0,0,1,2903
Greece,2014-01-01,0,0,1,0,0,1,1459
Grenada,2014-01-01,0,0,1,0,0,1,529
Guatemala,2014-01-01,0,0,1,0,0,1,2417
Honduras,2014-01-01,0,0,1,0,0,1,1497
Croatia,2014-01-01,0,0,1,0,0,1,766
Hungary,2014-01-01,0,0,1,0,0,1,13475
Ireland,2014-01-01,0,0,1,0,0,1,3163
Italy,2014-01-01,0,0,1,0,0,1,67004
Lithuania,2014-01-01,0,0,1,0,0,1,204
Latvia,2014-01-01,0,0,1,0,0,1,569
"China, Macao Special Administrative Region",2014-01-01,0,0,1,0,0,1,1783
Mexico,2014-01-01,0,0,1,0,0,1,39937
Myanmar,2014-01-01,0,0,1,0,0,1,5190
Mongolia,2014-01-01,0,0,1,0,0,1,8132
