Id,Country,Year,VALUE,Demographic,Probability,Baseline,YoY_Pct_Change,Yearly_Trend,Rolling_Slope,Rolling_Trend,Cumulative_Growth
3,Albania,2023,62.179344,AllGenders_Under18,7.0722615505625654,62.179344,,First Year,,,0.0
12,Albania,2024,62.335835,AllGenders_Under18,7.357980917205288,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
21,Albania,2025,62.094128,AllGenders_Under18,7.649358093088467,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
30,Albania,2026,60.939846,AllGenders_Under18,7.946393078212095,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
39,Albania,2027,58.81632,AllGenders_Under18,8.249085872576176,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
48,Albania,2028,57.089844,AllGenders_Under18,8.557436476180705,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
57,Albania,2029,55.17139,AllGenders_Under18,8.871444889025684,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
4,Albania,2023,62.179344,Female_AllAges,15.025990903183883,62.179344,,First Year,,,0.0
13,Albania,2024,62.335835,Female_AllAges,15.633040935672515,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
22,Albania,2025,62.094128,Female_AllAges,16.252111760883686,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
31,Albania,2026,60.939846,Female_AllAges,16.883203378817413,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
40,Albania,2027,58.81632,Female_AllAges,17.526315789473685,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
49,Albania,2028,57.089844,Female_AllAges,18.181448992852502,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
58,Albania,2029,55.17139,Female_AllAges,18.848602988953864,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
5,Albania,2023,62.179344,Female_Over18,3.8276734721794727,62.179344,,First Year,,,0.0
14,Albania,2024,62.335835,Female_Over18,3.9823114804555235,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
23,Albania,2025,62.094128,Female_Over18,4.140011627509318,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
32,Albania,2026,60.939846,Female_Over18,4.300773913340856,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
41,Albania,2027,58.81632,Female_Over18,4.464598337950139,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
50,Albania,2028,57.089844,Female_Over18,4.631484901337162,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
59,Albania,2029,55.17139,Female_Over18,4.801433603501931,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
6,Albania,2023,62.179344,Female_Under18,2.783762525221435,62.179344,,First Year,,,0.0
15,Albania,2024,62.335835,Female_Under18,2.8962265312403797,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
24,Albania,2025,62.094128,Female_Under18,3.0109175472795022,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
33,Albania,2026,60.939846,Female_Under18,3.1278355733388032,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
42,Albania,2027,58.81632,Female_Under18,3.246980609418282,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
51,Albania,2028,57.089844,Female_Under18,3.3683526555179357,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
60,Albania,2029,55.17139,Female_Under18,3.491951711637769,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
7,Albania,2023,62.179344,Male_AllAges,16.24431448992852,62.179344,,First Year,,,0.0
16,Albania,2024,62.335835,Male_AllAges,16.90058479532163,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
25,Albania,2025,62.094128,Male_AllAges,17.569850552306693,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
34,Albania,2026,60.939846,Male_AllAges,18.25211176088369,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
43,Albania,2027,58.81632,Male_AllAges,18.94736842105263,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
52,Albania,2028,57.089844,Male_AllAges,19.65562053281352,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
61,Albania,2029,55.17139,Male_AllAges,20.37686809616634,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
8,Albania,2023,62.179344,Male_Over18,4.13802537532916,62.179344,,First Year,,,0.0
17,Albania,2024,62.335835,Male_Over18,4.305201600492457,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
26,Albania,2025,62.094128,Male_Over18,4.47568824595602,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
35,Albania,2026,60.939846,Male_Over18,4.649485311719845,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
44,Albania,2027,58.81632,Male_Over18,4.826592797783933,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
53,Albania,2028,57.089844,Male_Over18,5.007010704148284,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
62,Albania,2029,55.17139,Male_Over18,5.190739030812899,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
9,Albania,2023,62.179344,Male_Under18,3.009473000239389,62.179344,,First Year,,,0.0
18,Albania,2024,62.335835,Male_Under18,3.1310557094490576,62.179344,0.25167682695399485,Stable,-0.04260800000000131,Stable,0.25167682695398425
27,Albania,2025,62.094128,Male_Under18,3.2550459970589225,62.179344,-0.3877496788163737,Stable,-0.6979945000000001,Sharp decline,-0.13704872795055964
36,Albania,2026,60.939846,Male_Under18,3.381443863068977,62.179344,-1.8589229564508813,Declining,-1.638904,Sharp decline,-1.9934240541360448
45,Albania,2027,58.81632,Male_Under18,3.5102493074792225,62.179344,-3.484626462626772,Declining,-1.9250010000000017,Sharp decline,-5.408587134660029
54,Albania,2028,57.089844,Male_Under18,3.641462330289661,62.179344,-2.9353689588195953,Declining,-1.8224649999999976,Sharp decline,-8.185194105618098
63,Albania,2029,55.17139,Male_Under18,3.7750829315002905,62.179344,-3.3604120550758454,Declining,,,-11.2705499112374
64,Algeria,2023,34.277832,AllGenders_AllAges,27.746497905499755,34.277832,,First Year,,,0.0
73,Algeria,2024,33.405746,AllGenders_AllAges,28.867456420881947,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
82,Algeria,2025,32.62644,AllGenders_AllAges,30.010612134588534,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
91,Algeria,2026,32.42835,AllGenders_AllAges,31.175965046619524,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
100,Algeria,2027,31.143368,AllGenders_AllAges,32.36351515697491,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
109,Algeria,2028,27.350065,AllGenders_AllAges,33.573262465654715,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
118,Algeria,2029,24.05447,AllGenders_AllAges,34.805206972658894,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
65,Algeria,2023,34.277832,AllGenders_Over18,6.771466750746962,34.277832,,First Year,,,0.0
74,Algeria,2024,33.405746,AllGenders_Over18,7.04503400747714,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
83,Algeria,2025,32.62644,AllGenders_Over18,7.324018437607914,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
92,Algeria,2026,32.42835,AllGenders_Over18,7.608420041139288,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
101,Algeria,2027,31.143368,AllGenders_Over18,7.898238818071259,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
110,Algeria,2028,27.350065,AllGenders_Over18,8.193474768403828,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
119,Algeria,2029,24.05447,AllGenders_Over18,8.49412789213699,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
66,Algeria,2023,34.277832,AllGenders_Under18,2.394787021605631,34.277832,,First Year,,,0.0
75,Algeria,2024,33.405746,AllGenders_Under18,2.491536417278501,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
84,Algeria,2025,32.62644,AllGenders_Under18,2.590201642568651,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
93,Algeria,2026,32.42835,AllGenders_Under18,2.6907826974760867,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
102,Algeria,2027,31.143368,AllGenders_Under18,2.79327958200081,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
111,Algeria,2028,27.350065,AllGenders_Under18,2.897692296142814,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
120,Algeria,2029,24.05447,AllGenders_Under18,3.0040208399021058,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
67,Algeria,2023,34.277832,Female_AllAges,23.542483071333127,34.277832,,First Year,,,0.0
76,Algeria,2024,33.405746,Female_AllAges,24.49359938741498,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
85,Algeria,2025,32.62644,Female_AllAges,25.463549689953908,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
94,Algeria,2026,32.42835,Female_AllAges,26.4523339789499,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
103,Algeria,2027,31.143368,Female_AllAges,27.459952254402957,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
112,Algeria,2028,27.350065,Female_AllAges,28.486404516313087,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
121,Algeria,2029,24.05447,Female_AllAges,29.53169076468028,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
68,Algeria,2023,34.277832,Female_Over18,5.745486940027725,34.277832,,First Year,,,0.0
77,Algeria,2024,33.405746,Female_Over18,5.977604612404845,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
86,Algeria,2025,32.62644,Female_Over18,6.214318674333988,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
95,Algeria,2026,32.42835,Female_Over18,6.455629125815153,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
104,Algeria,2027,31.143368,Female_Over18,6.701535966848339,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
113,Algeria,2028,27.350065,Female_Over18,6.952039197433549,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
122,Algeria,2029,24.05447,Female_Over18,7.207138817570781,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
69,Algeria,2023,34.277832,Female_Under18,2.0319405031805355,34.277832,,First Year,,,0.0
78,Algeria,2024,33.405746,Female_Under18,2.1140308995090313,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
87,Algeria,2025,32.62644,Female_Under18,2.197746848240068,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
96,Algeria,2026,32.42835,Female_Under18,2.283088349373649,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
105,Algeria,2027,31.143368,Female_Under18,2.370055402909778,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
114,Algeria,2028,27.350065,Female_Under18,2.458648008848448,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
123,Algeria,2029,24.05447,Female_Under18,2.548866167189666,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
70,Algeria,2023,34.277832,Male_AllAges,23.878804258066452,34.277832,,First Year,,,0.0
79,Algeria,2024,33.405746,Male_AllAges,24.843507950092338,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
88,Algeria,2025,32.62644,Male_AllAges,25.827314685524676,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
97,Algeria,2026,32.42835,Male_AllAges,26.830224464363468,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
106,Algeria,2027,31.143368,Male_AllAges,27.852237286608716,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
115,Algeria,2028,27.350065,Male_AllAges,28.89335315226042,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
124,Algeria,2029,24.05447,Male_AllAges,29.953572061318567,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
71,Algeria,2023,34.277832,Male_Over18,5.827565324885263,34.277832,,First Year,,,0.0
80,Algeria,2024,33.405746,Male_Over18,6.062998964010628,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
89,Algeria,2025,32.62644,Male_Over18,6.303094655395901,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
98,Algeria,2026,32.42835,Male_Over18,6.5478523990410835,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
107,Algeria,2027,31.143368,Male_Over18,6.797272194946173,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
116,Algeria,2028,27.350065,Male_Over18,7.051354043111173,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
125,Algeria,2029,24.05447,Male_Over18,7.3100979435360784,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
72,Algeria,2023,34.277832,Male_Under18,2.060968224654543,34.277832,,First Year,,,0.0
81,Algeria,2024,33.405746,Male_Under18,2.1442313409305886,34.277832,-2.5441690711361042,Declining,-0.8256959999999971,Sharp decline,-2.544169071136109
90,Algeria,2025,32.62644,Male_Under18,2.229143231786354,34.277832,-2.332850162962974,Declining,-0.48869799999999936,Mild decline,-4.817667581777034
99,Algeria,2026,32.42835,Male_Under18,2.315703897221844,34.277832,-0.6071456156417909,Stable,-0.7415360000000017,Sharp decline,-5.395562939919873
108,Algeria,2027,31.143368,Male_Under18,2.4039133372370607,34.277832,-3.962526616371176,Declining,-2.5391425000000005,Sharp decline,-9.144288938693666
117,Algeria,2028,27.350065,Male_Under18,2.4937715518319976,34.277832,-12.180130935099886,Declining,-3.544449,Sharp decline,-20.21063350797681
126,Algeria,2029,24.05447,Male_Under18,2.5852785410066614,34.277832,-12.049678858167256,Declining,,,-29.824995933231712
127,Argentina,2023,61.505993,AllGenders_AllAges,21.01305863777904,61.505993,,First Year,,,0.0
136,Argentina,2024,63.421566,AllGenders_AllAges,21.861986206745314,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
145,Argentina,2025,65.20319,AllGenders_AllAges,22.72772422262181,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
154,Argentina,2026,66.69225,AllGenders_AllAges,23.61027268540853,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
163,Argentina,2027,66.83207,AllGenders_AllAges,24.50963159510548,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
172,Argentina,2028,65.320946,AllGenders_AllAges,25.42580095171264,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
181,Argentina,2029,63.50893,AllGenders_AllAges,26.358780755230033,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
128,Argentina,2023,61.505993,AllGenders_Over18,11.165354589710972,61.505993,,First Year,,,0.0
137,Argentina,2024,63.421566,AllGenders_Over18,11.616434915135297,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
146,Argentina,2025,65.20319,AllGenders_Over18,12.07644752423139,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
155,Argentina,2026,66.69225,AllGenders_Over18,12.545392416999249,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
164,Argentina,2027,66.83207,AllGenders_Over18,13.023269593438883,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
173,Argentina,2028,65.320946,AllGenders_Over18,13.51007905355028,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
182,Argentina,2029,63.50893,AllGenders_Over18,14.00582079733345,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
129,Argentina,2023,61.505993,AllGenders_Under18,9.70900399105302,61.505993,,First Year,,,0.0
138,Argentina,2024,63.421566,AllGenders_Under18,10.101247752291563,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
147,Argentina,2025,65.20319,AllGenders_Under18,10.501258716722948,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
156,Argentina,2026,66.69225,AllGenders_Under18,10.909036884347175,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
165,Argentina,2027,66.83207,AllGenders_Under18,11.324582255164248,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
174,Argentina,2028,65.320946,AllGenders_Under18,11.747894829174157,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
183,Argentina,2029,63.50893,AllGenders_Under18,12.178974606376912,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
130,Argentina,2023,61.505993,Female_AllAges,16.86028025086619,61.505993,,First Year,,,0.0
139,Argentina,2024,63.421566,Female_AllAges,17.54143557300118,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
148,Argentina,2025,65.20319,Female_AllAges,18.236079119336868,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
157,Argentina,2026,66.69225,Female_AllAges,18.94421088987325,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
166,Argentina,2027,66.83207,Female_AllAges,19.665830884610326,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
175,Argentina,2028,65.320946,Female_AllAges,20.400939103548087,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
184,Argentina,2029,63.50893,Female_AllAges,21.14953554668655,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
131,Argentina,2023,61.505993,Female_Over18,8.95876277356256,61.505993,,First Year,,,0.0
140,Argentina,2024,63.421566,Female_Over18,9.320696789614487,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
149,Argentina,2025,65.20319,Female_Over18,9.689797815885267,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
158,Argentina,2026,66.69225,Female_Over18,10.066065852374892,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
167,Argentina,2027,66.83207,Female_Over18,10.44950089908337,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
176,Argentina,2028,65.320946,Female_Over18,10.8401029560107,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
185,Argentina,2029,63.50893,Female_Over18,11.23787202315688,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
132,Argentina,2023,61.505993,Female_Under18,7.790228498750053,61.505993,,First Year,,,0.0
141,Argentina,2024,63.421566,Female_Under18,8.104953730099554,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
150,Argentina,2025,65.20319,Female_Under18,8.42591114424806,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
159,Argentina,2026,66.69225,Female_Under18,8.753100741195562,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
168,Argentina,2027,66.83207,Female_Under18,9.086522520942065,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
177,Argentina,2028,65.320946,Female_Under18,9.426176483487565,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
186,Argentina,2029,63.50893,Female_Under18,9.772062628832069,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
133,Argentina,2023,61.505993,Male_AllAges,12.292224025262046,61.505993,,First Year,,,0.0
142,Argentina,2024,63.421566,Male_AllAges,12.788829875882637,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
151,Argentina,2025,65.20319,Male_AllAges,13.29526950572343,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
160,Argentina,2026,66.69225,Male_AllAges,13.811542914784436,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
169,Argentina,2027,66.83207,Male_AllAges,14.337650103065657,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
178,Argentina,2028,65.320946,Male_AllAges,14.873591070567077,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
187,Argentina,2029,63.50893,Male_AllAges,15.41936581728872,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
134,Argentina,2023,61.505993,Male_Over18,6.531511775799304,61.505993,,First Year,,,0.0
143,Argentina,2024,63.421566,Male_Over18,6.795384851541598,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
152,Argentina,2025,65.20319,Male_Over18,7.06448313670453,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
161,Argentina,2026,66.69225,Male_Over18,7.338806631288097,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
170,Argentina,2027,66.83207,Male_Over18,7.618355335292311,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
179,Argentina,2028,65.320946,Male_Over18,7.90312924871716,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
188,Argentina,2029,63.50893,Male_Over18,8.193128371562652,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
135,Argentina,2023,61.505993,Male_Under18,5.679575457216786,61.505993,,First Year,,,0.0
144,Argentina,2024,63.421566,Male_Under18,5.909030305688346,61.505993,3.1144493513014293,Increase,1.8485985000000047,Strong growth,3.1144493513014284
153,Argentina,2025,65.20319,Male_Under18,6.143028814525678,61.505993,2.8091769288699275,Increase,1.6353420000000014,Strong growth,6.011116672809445
162,Argentina,2026,66.69225,Male_Under18,6.381570983728782,61.505993,2.283722621546569,Increase,0.8144399999999975,Strong growth,8.432116525620529
171,Argentina,2027,66.83207,Male_Under18,6.624656813297664,61.505993,0.20964954698634575,Stable,-0.6856519999999975,Sharp decline,8.659443966704195
180,Argentina,2028,65.320946,Male_Under18,6.872286303232313,61.505993,-2.2610761570006632,Declining,-1.661570000000001,Sharp decline,6.2025711868435485
189,Argentina,2029,63.50893,Male_Under18,7.12445945353274,61.505993,-2.774019837373465,Declining,,,3.2564907943198365
190,Armenia,2022,20.404629,AllGenders_AllAges,30.69064653042805,20.404629,,First Year,,,0.0
199,Armenia,2023,20.212704,AllGenders_AllAges,31.93054865025734,20.404629,-0.9405953913692922,Stable,-0.20890050000000038,Mild decline,-0.9405953913692879
208,Armenia,2024,19.986828,AllGenders_AllAges,33.195003287310975,20.404629,-1.117495214890596,Declining,-0.12833199999999856,Mild decline,-2.047579497769848
217,Armenia,2025,19.95604,AllGenders_AllAges,34.48401044158896,20.404629,-0.1540414517000821,Stable,0.008925500000000142,Stable,-2.198466828286848
226,Armenia,2026,20.004679,AllGenders_AllAges,35.797570113091275,20.404629,0.2437307201228256,Stable,0.10137699999999938,Mild growth,-1.9600944471962736
235,Armenia,2027,20.158794,AllGenders_AllAges,37.135682301817944,20.404629,0.7703947661444666,Stable,-0.03519749999999888,Stable,-1.2048001460844968
244,Armenia,2028,19.934284,AllGenders_AllAges,38.49834700776895,20.404629,-1.1137074965893223,Declining,0.1540215000000007,Mild growth,-2.3050896931279574
253,Armenia,2029,20.466837,AllGenders_AllAges,39.8855642309443,20.404629,2.671543156503642,Increase,,,0.3048719974276514
191,Armenia,2022,20.404629,AllGenders_Over18,9.574050083836154,20.404629,,First Year,,,0.0
200,Armenia,2023,20.212704,AllGenders_Over18,9.960841707223135,20.404629,-0.9405953913692922,Stable,-0.20890050000000038,Mild decline,-0.9405953913692879
209,Armenia,2024,19.986828,AllGenders_Over18,10.355292570677186,20.404629,-1.117495214890596,Declining,-0.12833199999999856,Mild decline,-2.047579497769848
218,Armenia,2025,19.95604,AllGenders_Over18,10.757402674198302,20.404629,-0.1540414517000821,Stable,0.008925500000000142,Stable,-2.198466828286848
227,Armenia,2026,20.004679,AllGenders_Over18,11.16717201778649,20.404629,0.2437307201228256,Stable,0.10137699999999938,Mild growth,-1.9600944471962736
